Overall state ranks for retirees,,,States under 10 overall ranked(worst),,,States above 10 overall ranked(Best),,,
Row Labels,Sum of Overall rank,,Row Labels,Sum of Overall rank,,Row Labels,Sum of Overall rank,,
Alabama,14,,Alabama,14,,Delaware,2,,
Alaska,50,,Alaska,50,,Florida,8,,
Arizona,34,,Arizona,34,,Hawaii,9,,
Arkansas,23,,Arkansas,23,,Iowa,1,,
California,48,,California,48,,Mississippi,5,,
Colorado,43,,Colorado,43,,Missouri,4,,
Connecticut,21,,Connecticut,21,,Nebraska,10,,
Georgia,15,,Georgia,15,,Pennsylvania,7,,
Idaho,33,,Idaho,33,,West Virginia,3,,
Illinois,17,,Illinois,17,,Wyoming,6,,
Indiana,40,,Indiana,40,,,,,
Kansas,11,,Kansas,11,,,,,
Kentucky,36,,Kentucky,36,,,,,
Louisiana,41,,Louisiana,41,,,,,
Maine,27,,Maine,27,,,,,
Maryland,42,,Maryland,42,,,,,
Massachusetts,46,,Massachusetts,46,,,,,
Michigan,13,,Michigan,13,,,,,
Minnesota,35,,Minnesota,35,,,,,
Montana,26,,Montana,26,,,,,
Nevada,25,,Nevada,25,,,,,
New Hampshire,38,,New Hampshire,38,,,,,
New Jersey,32,,New Jersey,32,,,,,
New Mexico,22,,New Mexico,22,,,,,
New York,49,,New York,49,,,,,
North Carolina,31,,North Carolina,31,,,,,
North Dakota,45,,North Dakota,45,,,,,
Ohio,39,,Ohio,39,,,,,
Oklahoma,29,,Oklahoma,29,,,,,
Oregon,18,,Oregon,18,,,,,
Rhode Island,24,,Rhode Island,24,,,,,
South Carolina,19,,South Carolina,19,,,,,
South Dakota,37,,South Dakota,37,,,,,
Tennessee,20,,Tennessee,20,,,,,
Texas,44,,Texas,44,,,,,
Utah,30,,Utah,30,,,,,
Vermont,28,,Vermont,28,,,,,
Virginia,16,,Virginia,16,,,,,
Washington,47,,Washington,47,,,,,
Wisconsin,12,,Wisconsin,12,,,,,
,,,,,,,,,
,,,,,,,,,
Row Labels,Sum of Affordability rank,,,,,,,,
Alabama,4,,,,,,,,
Alaska,43,,,,,,,,
Arizona,36,,,,,,,,
Arkansas,10,,,,,,,,
California,49,,,,,,,,
Colorado,41,,,,,,,,
Connecticut,44,,,,,,,,
Delaware,18,,,,,,,,
Florida,35,,,,,,,,
Georgia,12,,,,,,,,
Hawaii,45,,,,,,,,
Idaho,32,,,,,,,,
Illinois,17,,,,,,,,
Indiana,7,,,,,,,,
Iowa,3,,,,,,,,
Kansas,8,,,,,,,,
Kentucky,15,,,,,,,,
Louisiana,16,,,,,,,,
Maine,34,,,,,,,,
Maryland,46,,,,,,,,
Massachusetts,48,,,,,,,,
Michigan,11,,,,,,,,
Minnesota,31,,,,,,,,
Mississippi,2,,,,,,,,
Missouri,5,,,,,,,,
Montana,33,,,,,,,,
Nebraska,13,,,,,,,,
Nevada,29,,,,,,,,
New Hampshire,38,,,,,,,,
New Jersey,42,,,,,,,,
New Mexico,24,,,,,,,,
New York,50,,,,,,,,
North Carolina,22,,,,,,,,
North Dakota,26,,,,,,,,
Ohio,20,,,,,,,,
Oklahoma,6,,,,,,,,
Oregon,37,,,,,,,,
Pennsylvania,25,,,,,,,,
Rhode Island,40,,,,,,,,
South Carolina,23,,,,,,,,
South Dakota,21,,,,,,,,
Tennessee,14,,,,,,,,
Texas,28,,,,,,,,
Utah,27,,,,,,,,
Vermont,39,,,,,,,,
Virginia,30,,,,,,,,
Washington,47,,,,,,,,
West Virginia,1,,,,,,,,
Wisconsin,19,,,,,,,,
Wyoming,9,,,,,,,,
(blank),,,,,,,,,
